Sample,Phylum,Class,Order,Family,Genus,Species,Percent
9_70m,Stramenopiles,Other stramenopiles,Pelagophyceae,Pelagomonadales,Pelagomonadales_unclassified,Pelagomonadales_unclassified,0.262123198
9_70m,Stramenopiles,Other stramenopiles,Pelagophyceae,Pelagophyceae_unclassified,Pelagophyceae_unclassified,Pelagophyceae_unclassified,1.26692879
9_70m,Stramenopiles,Other stramenopiles,Bicoecea,Anoecales,Cafeteriaceae,Cafeteria,0.0436872
9_70m,Stramenopiles,Other stramenopiles,MAST-3,MAST-3_unclassified,MAST-3_unclassified,MAST-3_unclassified,0.262123198
9_70m,Stramenopiles,Other stramenopiles,MAST-3,MAST-3E,MAST-3E_X,MAST-3E_XX,0.218435998
9_70m,Stramenopiles,Other stramenopiles,MAST-3,MAST-3I,MAST-3I_X,MAST-3I_XX,1.441677588
9_70m,Stramenopiles,Other stramenopiles,MAST-3,MAST-3K,MAST-3K_X,MAST-3K_XX,0.0436872
9_70m,Stramenopiles,Other stramenopiles,Opalozoa_unclassified,Opalozoa_unclassified,Opalozoa_unclassified,Opalozoa_unclassified,0.262123198
9_70m,Stramenopiles,Other stramenopiles,MAST-1,MAST-1D,MAST-1D_X,MAST-1D_XX,0.087374399
9_70m,Stramenopiles,Other stramenopiles,MAST-11,MAST-11_X,MAST-11_XX,MAST-11_XXX,0.087374399
9_70m,Stramenopiles,Other stramenopiles,MAST-4,MAST-4C,MAST-4C_X,MAST-4C_XX,0.174748799
9_70m,Stramenopiles,Other stramenopiles,MAST-7,MAST-7_unclassified,MAST-7_unclassified,MAST-7_unclassified,0.0436872
9_70m,Stramenopiles,Other stramenopiles,MAST-8,MAST-8_unclassified,MAST-8_unclassified,MAST-8_unclassified,0.218435998
9_70m,Stramenopiles,Other stramenopiles,Stramenopiles_unclassified,Stramenopiles_unclassified,Stramenopiles_unclassified,Stramenopiles_unclassified,4.150283967
